fwd_init_window_size,id.resp_p,fwd_last_window_size,fwd_pkts_payload.max,payload_bytes_per_second,fwd_pkts_per_sec,flow_pkts_per_sec,bwd_pkts_per_sec,flow_iat.max,fwd_pkts_payload.avg,service,fwd_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.std,flow_pkts_payload.avg,flow_SYN_flag_count,fwd_iat.max,fwd_URG_flag_count,fwd_header_size_max,fwd_header_size_min,id.orig_p,flow_iat.avg,bwd_pkts_payload.max,bwd_pkts_payload.std,flow_FIN_flag_count,Attack_type
64240,1883,502,33.0,3.373777,0.281148,0.437341,0.156193,29729182.958603,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29729182.958603,0,40,32,38667,2462430.605522,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.3873230000000003,0.282277,0.439097,0.156821,29855277.061462,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29855277.061462,0,40,32,51143,2452583.386348,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.23745,0.280164,0.435811,0.155647,29842149.019241,8.222222,mqtt,0.0,33.0,11.229866,7.428571000000002,2,29842149.019241,0,40,32,44761,2471081.0001080004,21.0,8.689074,0,MQTT_Publish
64240,1883,502,33.0,3.253959,0.281593,0.438033,0.15644,29913774.967194,8.222222,mqtt,0.0,33.0,11.229866,7.428571000000002,2,29913774.967194,0,40,32,60893,2458543.318969,21.0,8.689074,0,MQTT_Publish
64240,1883,502,33.0,3.385329,0.282111,0.438839,0.156728,29814704.89502,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29814704.89502,0,40,32,51087,2454027.836139,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.3888,0.2824,0.439289,0.156889,29825548.171997,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29825548.171997,0,40,32,48579,2451514.317439,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.36504,0.28042,0.436209,0.155789,29823416.948318,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29823416.948318,0,40,32,54063,2468823.9280990004,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.364066,0.280339,0.436083,0.155744,29795433.044434004,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29795433.044434004,0,40,32,33457,2469539.312216,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.372158,0.281013,0.437132,0.156118,29661617.040634006,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29661617.040634006,0,40,32,52181,2463612.849896,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.369878,0.280823,0.436836,0.156013,29778450.965881,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29778450.965881,0,40,32,53469,2465279.762562,23.0,9.555103,0,MQTT_Publish
64240,1883,502,33.0,3.377422,0.281452,0.437814,0.156362,29870183.944702003,8.444444,mqtt,0.0,33.0,11.618477,7.714286,2,29870183.944702003,0,40,32,54153,2459773.6138560004,23.0,9.555103,0,MQTT_Publish
